K,nmi_mean,nmi_std,nmi_best,nmi_min,n_seeds,log_p_z_mean,run,candidate
3,0.6161,0.0199,0.6350,0.5886,3,-112.38,joint_k_sweep_f4_K3_20260609-183702,yes
4,0.6174,0.0233,0.6428,0.5866,3,-53.09,joint_k_sweep_f4_K4_20260609-183717,yes
5,0.5809,0.0404,0.6285,0.5297,3,-65.78,joint_k_sweep_f4_K5_20260609-184152,yes
6,0.5060,0.0075,0.5136,0.4959,3,-289.32,joint_k_sweep_f4_K6_20260609-194422,
7,0.5331,0.0558,0.5874,0.4564,3,-394.30,joint_k_sweep_f4_K7_20260609-195433,yes
8,0.4965,0.0230,0.5290,0.4790,3,-20.62,joint_k_sweep_f4_K8_20260609-232933,
9,0.4902,0.0311,0.5283,0.4521,3,-150.08,joint_k_sweep_f4_K9_20260609-233939,
10,0.4954,0.0404,0.5346,0.4398,3,-196.67,joint_k_sweep_f4_K10_20260609-190121,
11,0.4462,0.0084,0.4580,0.4389,3,-90.80,joint_k_sweep_f4_K11_20260609-181522,
12,0.4960,0.0658,0.5819,0.4221,3,-158.58,joint_k_sweep_f4_K12_20260609-225033,
13,0.4575,0.0482,0.5252,0.4172,3,-77.14,joint_k_sweep_f4_K13_20260609-195753,
14,0.5111,0.0649,0.5653,0.4198,3,-84.35,joint_k_sweep_f4_K14_20260609-200417,
15,0.4440,0.0376,0.4907,0.3985,3,-113.44,joint_k_sweep_f4_K15_20260609-210023,
