,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
S1,,0.3678837848449156,0.38790734197094623,0.15822536317235963,0.07224185316058107,0.0039261876717707105,0.0027483313702394976,0.007067137809187279,0.0,0.0
S2,0.6802973977695167,,0.22602230483271377,0.040892193308550186,0.03197026022304833,0.0007434944237918215,0.012639405204460967,0.0037174721189591076,0.0,0.0037174721189591076
S3,0.5858024691358025,0.16604938271604938,,0.1728395061728395,0.06419753086419754,0.0049382716049382715,0.0006172839506172839,0.004320987654320987,0.0012345679012345679,0.0
S4,0.577120822622108,0.06298200514138817,0.33547557840616965,,0.021850899742930592,0.0,0.0,0.0,0.0,0.002570694087403599
S5,0.5397260273972603,0.17534246575342466,0.136986301369863,0.10684931506849316,,0.030136986301369864,0.0027397260273972603,0.005479452054794521,0.0027397260273972603,0.0
S6,0.4375,0.0,0.125,0.0,0.40625,,0.0,0.03125,0.0,0.0
S7,0.2692307692307692,0.6538461538461539,0.038461538461538464,0.0,0.038461538461538464,0.0,,0.0,0.0,0.0
S8,0.3939393939393939,0.18181818181818182,0.2727272727272727,0.0,0.06060606060606061,0.06060606060606061,0.0,,0.0,0.030303030303030304
S9,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,,0.0
S10,0.5,0.375,0.0,0.125,0.0,0.0,0.0,0.0,0.0,
