K,configured_K,n_seeds_with_npz,has_results_npz,active_substages_best_seed,best_seed,nmi_best,active_substages_min,active_substages_max,active_substages_mean,state_collapse,run
3,3,0,False,,,,,,,,
4,4,5,True,4,1,0.5167,4,4,4.0,no,population_k_sweep_K4_20260613-144252
5,5,5,True,5,5,0.4844,4,5,4.8,no,population_k_sweep_K5_20260613-124308
6,6,5,True,6,4,0.4574,4,6,5.6,no,population_k_sweep_K6_20260613-124107
7,7,2,True,7,2,0.4684,7,7,7.0,no,population_k_sweep_K7_spill_a100_20260612-092304
8,8,1,True,8,1,0.4392,8,8,8.0,no,population_k_sweep_K8_20260612-085612
9,9,4,True,9,2,0.4342,9,9,9.0,no,population_k_sweep_K9_spill_l40s_20260612-101504
10,10,0,False,,,,,,,,
11,11,0,False,,,,,,,,
12,12,3,True,12,2,0.4034,12,12,12.0,no,population_k_sweep_K12_20260612-011734
13,13,0,False,,,,,,,,
14,14,0,False,,,,,,,,
15,15,4,True,10,2,0.4095,10,15,13.8,yes,population_k_sweep_K15_20260612-005731
