participant_id,run,lab,artifact_delta_power_rel,non_artifact_delta_power_rel,artifact_theta_power_rel,non_artifact_theta_power_rel,artifact_alpha_power_rel,non_artifact_alpha_power_rel,artifact_beta_power_rel,non_artifact_beta_power_rel,artifact_gamma_power_rel,non_artifact_gamma_power_rel,artifact_variance,non_artifact_variance,artifact_std,non_artifact_std,artifact_50hz_rel,non_artifact_50hz_rel,artifact_emg_std,non_artifact_emg_std,artifact_emg_rms,non_artifact_emg_rms,artifact_emg_mad,non_artifact_emg_mad
sub-023,1,lab_4,0.0016329357,0.0010451206,0.001639353,0.0008138159,0.00060594967,0.0002472109,0.00010131581,4.3228923e-05,3.9403676e-06,0.00023474277,1.4196299e-08,2.1260043e-08,0.00011914822,0.00014489931,9.766663e-06,0.00760562,4.434034053701907e-06,5.4158786952029914e-05,4.682703092839802e-06,5.418036744231358e-05,2.6185703063674737e-06,2.8252994525246322e-05
sub-026,1,lab_4,0.0016546226,0.0018675413,0.0015959283,0.0014706673,0.0005502758,0.0005297387,0.00011505739,0.00010598594,6.7461215e-06,6.4181486e-06,5.3290483e-09,7.461628e-09,7.300033e-05,8.626245e-05,1.5475285e-05,1.41164255e-05,1.6331590586560196e-06,7.104915766831255e-06,1.6517213907718542e-06,7.108918907761108e-06,5.974822556709114e-07,7.468528906429128e-07
sub-029,1,lab_4,0.001846512,0.0023319556,0.0012014301,0.001200471,0.00064088474,0.00045269495,0.00012587366,8.59659e-05,1.6983902e-05,9.975539e-06,4.2252837e-09,1.160617e-08,6.500218e-05,0.00010356311,0.00030562654,0.00012423792,0.000603969965595752,0.0005900603136979043,0.0006039728177711368,0.0005900654941797256,0.0006031853845342994,0.0005449873860925436
sub-031,1,lab_4,0.0022023725,0.0027246526,0.0028423346,0.0010081116,0.0011403634,0.00034852463,0.00021471879,7.975239e-05,1.0156439e-05,6.8681693e-06,7.277337e-09,1.979933e-08,8.530731e-05,0.00013285938,5.7345267e-05,2.2588354e-05,1.0995464435836766e-05,9.164329821942374e-05,1.1307162822049577e-05,9.167924145003781e-05,3.602197239160887e-06,3.914387707482092e-05
sub-036,1,lab_4,0.00128215,0.0017451046,0.0018706587,0.0015819946,0.0006348401,0.0005305296,0.00011086546,0.00010096436,4.1149947e-06,7.912726e-06,1.4090499e-08,1.4554717e-08,0.00011870341,0.00011932541,1.2880689e-05,1.7488037e-05,3.192987151123816e-06,9.666799996921327e-06,3.205386974514113e-06,9.671483894635458e-06,2.0553902686515357e-06,2.3294423954212107e-06
sub-037,1,lab_4,0.0017143383,0.0017565073,0.0016176457,0.0014771248,0.00056957005,0.0006237949,9.638479e-05,0.000104307735,4.813064e-06,6.7794763e-06,1.27096715e-08,1.1018205e-08,0.00011273718,0.00010473451,1.14352715e-05,1.9941564e-05,8.757187060837168e-06,1.4944605936761945e-05,9.115798093262129e-06,1.5156199879129417e-05,3.799862724918057e-06,4.710246685135644e-06
sub-038,1,lab_3,0.0029941197,0.0018844602,0.00070061476,0.0012089958,0.0002874346,0.0005378509,0.00012132771,0.00016958591,2.5101056e-07,2.1856061e-07,2.1033777e-09,1.0943341e-09,4.5862595e-05,3.0944073e-05,1.392332e-07,8.200687e-08,2.2340682335197926e-05,1.6268715626210906e-05,2.2363859898177907e-05,1.629865073482506e-05,1.0720622412918601e-05,5.082490133645479e-06
sub-038,2,lab_3,0.0018879058,0.0018418392,0.0010909081,0.0011986137,0.00048096708,0.00053136365,0.00020803593,0.00018229545,3.191409e-07,7.500389e-08,6.8477585e-10,1.087347e-09,2.6168222e-05,3.0840343e-05,1.950609e-07,2.0224663e-08,2.0725317881442606e-05,1.5842872016946785e-05,2.0729237803607248e-05,1.5847734175622463e-05,9.785107977222651e-06,4.916975740343332e-06
sub-039,1,lab_3,0.016146375,0.0014290402,0.011175472,0.0014704909,0.0179737,0.0006482533,0.0036414366,0.00017704022,3.7123973e-06,5.7176305e-08,1.3504837e-09,2.1381308e-09,3.6748927e-05,4.4977223e-05,2.133785e-06,3.4180992e-08,3.076080702157924e-06,8.613457794126589e-06,3.880766143993242e-06,8.930417607189156e-06,1.6064698229456553e-06,2.538795797590865e-06
sub-039,2,lab_3,0.027984368,0.0013776906,0.024898479,0.001343461,0.0067003276,0.0007240701,0.0019642054,0.00019838745,1.0590699e-05,7.357427e-08,3.5460446e-09,1.91211e-09,5.9548674e-05,4.157812e-05,7.873609e-06,3.9334566e-08,3.113091452178196e-06,9.014691386255436e-06,4.621741936716717e-06,9.647396836953703e-06,1.7186312106787227e-06,2.489540065653273e-06
