participant_id,run,EEG1,EEG2,EEG3,EEG4,EMG
sub-001,1,True,False,False,False,True
sub-002,1,True,False,False,False,True
sub-003,1,True,False,False,False,True
sub-004,1,True,False,False,False,True
sub-005,1,True,False,False,False,True
sub-006,1,True,False,False,False,True
sub-007,1,True,False,False,False,True
sub-008,1,True,False,False,False,True
sub-009,1,True,False,False,False,True
sub-010,1,True,False,False,False,True
sub-011,1,True,False,False,False,True
sub-012,1,True,False,False,False,True
sub-013,1,True,False,False,False,True
sub-014,1,True,False,False,False,True
sub-015,1,True,False,False,False,True
sub-016,1,True,False,False,False,True
sub-017,1,True,False,False,False,True
sub-018,1,True,False,False,False,True
sub-019,1,True,False,False,False,True
sub-020,1,True,False,False,False,True
sub-021,1,True,False,False,False,True
sub-022,1,True,False,False,False,True
sub-023,1,True,False,False,False,True
sub-024,1,True,False,False,False,True
sub-025,1,True,False,False,False,True
sub-026,1,True,False,False,False,True
sub-027,1,True,False,False,False,True
sub-028,1,True,False,False,False,True
sub-029,1,True,False,False,False,True
sub-030,1,True,False,False,False,True
sub-031,1,True,False,False,False,True
sub-032,1,True,False,False,False,True
sub-033,1,True,False,False,False,True
sub-034,1,True,False,False,False,True
sub-035,1,True,False,False,False,True
sub-036,1,True,False,False,False,True
sub-037,1,True,False,False,False,True
sub-038,1,True,True,False,False,True
sub-039,1,True,True,False,False,True
sub-040,1,True,True,False,False,True
sub-041,1,True,True,False,False,True
sub-042,1,True,True,False,False,True
sub-043,1,True,True,False,False,True
sub-044,1,True,True,False,False,True
sub-045,1,True,True,False,False,True
sub-046,1,True,True,False,False,True
sub-047,1,True,True,False,False,True
sub-048,1,True,True,False,False,True
sub-049,1,True,True,False,False,True
sub-050,1,True,True,False,False,True
sub-051,1,True,True,False,False,True
sub-052,1,True,True,False,False,True
sub-053,1,True,True,False,False,True
sub-054,1,True,True,False,False,True
sub-055,1,True,True,False,False,True
sub-056,1,True,True,False,False,True
sub-057,1,True,True,False,False,True
sub-058,1,True,True,False,False,True
sub-059,1,True,True,False,False,True
sub-060,1,True,True,False,False,True
sub-061,1,True,True,False,False,True
sub-062,1,True,True,False,False,True
sub-063,1,True,True,False,False,True
sub-064,1,True,True,False,False,True
sub-065,1,True,True,False,False,True
sub-066,1,True,True,False,False,True
sub-067,1,True,True,False,False,True
sub-068,1,True,True,False,False,True
sub-069,1,True,True,False,False,True
sub-070,1,True,True,True,True,True
sub-071,1,True,True,True,True,True
sub-072,1,True,True,True,True,True
sub-073,1,True,True,True,True,True
sub-074,1,True,True,True,True,True
sub-075,1,True,True,True,True,True
sub-076,1,True,True,True,True,True
sub-077,1,True,True,True,True,True
sub-078,1,True,True,True,True,True
sub-079,1,True,True,True,True,True
sub-080,1,True,True,True,True,True
sub-081,1,True,True,True,True,True
sub-082,1,True,True,True,True,True
sub-083,1,True,True,True,True,True
sub-084,1,True,True,True,True,True
sub-085,1,True,True,True,True,True
sub-086,1,True,True,True,True,True
sub-087,1,True,True,False,False,True
sub-088,1,True,True,False,False,True
sub-089,1,True,True,False,False,True
sub-090,1,True,True,False,False,True
sub-091,1,True,True,False,False,True
sub-092,1,True,True,False,False,True
