placement_type,signal_placement,stage,n_recordings,mean_amplitude,std_amplitude,cv_amplitude,mean_std,std_std
EEG F,EEG F,Awake,32,8.725301e-07,4.845677e-06,5.5535927,6.2604755e-05,3.904626e-05
EEG F,EEG F,NREM,32,1.1432971e-06,3.5794976e-06,3.130855,9.336039e-05,3.1229003e-05
EEG F,EEG F,REM,32,1.3902426e-06,2.9367302e-06,2.112387,6.2560815e-05,3.318266e-05
EEG F,EEG P,Awake,32,1.934067e-06,1.2478882e-06,0.64521456,2.8462282e-05,1.5311196e-05
EEG F,EEG P,NREM,32,1.9413405e-06,1.2356691e-06,0.636503,4.0641622e-05,2.0489026e-05
EEG F,EEG P,REM,32,1.9396025e-06,1.2341228e-06,0.6362761,2.5571659e-05,1.2737126e-05
EEG P,EEG F,Awake,32,8.725301e-07,4.845677e-06,5.5535927,6.2604755e-05,3.904626e-05
EEG P,EEG F,NREM,32,1.1432971e-06,3.5794976e-06,3.130855,9.336039e-05,3.1229003e-05
EEG P,EEG F,REM,32,1.3902426e-06,2.9367302e-06,2.112387,6.2560815e-05,3.318266e-05
EEG P,EEG P,Awake,32,1.934067e-06,1.2478882e-06,0.64521456,2.8462282e-05,1.5311196e-05
EEG P,EEG P,NREM,32,1.9413405e-06,1.2356691e-06,0.636503,4.0641622e-05,2.0489026e-05
EEG P,EEG P,REM,32,1.9396025e-06,1.2341228e-06,0.6362761,2.5571659e-05,1.2737126e-05
EEG PFCF,EEG PFCF,Awake,20,-2.2724785e-06,1.045934e-05,-4.6026134,0.000116833115,8.6681765e-05
EEG PFCF,EEG PFCF,NREM,20,1.8629687e-06,2.541106e-06,1.3640089,0.00010064815,2.3615985e-05
EEG PFCF,EEG PFCF,REM,18,1.9288186e-06,2.5506458e-06,1.3223876,7.1352326e-05,2.6557498e-05
