participant_id,run,lab,channel,band_low,band_high,interference_band_power,interference_band_peak_power,baseline_power,baseline_median,interference_ratio,interference_ratio_peak,interference_db_ratio,interference_db_ratio_peak,interference_fraction_total,n_freq_points_band,n_freq_points_baseline,is_outlier
sub-001,1,lab_1,EEG1,49.5,50.5,0.023886010916785543,0.1382404625467147,0.019363192916314085,0.01855064053524566,1.2335781097045864,7.452058718760139,0.911666540609498,8.7227626827647,0.00028164744060898034,61,360,False
sub-002,1,lab_1,EEG1,49.5,50.5,0.0011588571250859526,0.0018085552706498232,0.0012994393087501568,0.0012885962151553936,0.8918131969616696,1.4035081338712598,-0.4972610529246787,1.4721493388218068,9.223776004636115e-05,61,360,False
sub-003,1,lab_1,EEG1,49.5,50.5,0.0011082752838552736,0.0018071632478157524,0.0011679431408235694,0.0011368626983435611,0.948912018203957,1.5896055423924378,-0.2277405288295985,2.0128936833596254,0.0001158570653964805,61,360,False
sub-004,1,lab_1,EEG1,49.5,50.5,0.001701492217763466,0.0025681378913974583,0.0017842172135688682,0.0017698137815318066,0.9536351313450412,1.4510780268213357,-0.2061775816100295,1.6169076578528605,0.00019873180947908742,61,360,False
sub-005,1,lab_1,EEG1,49.5,50.5,0.0010349820358067972,0.0015534864657476453,0.0011064728057515864,0.0010845710347779126,0.9353885874930142,1.4323510535512332,-0.29007933143155257,1.5604947183765163,9.383102738125134e-05,61,360,False
sub-006,1,lab_1,EEG1,49.5,50.5,0.0013992130727184349,0.0022785495742040462,0.0014447626523824049,0.001406771340239663,0.9684726203592461,1.6197014450096503,-0.1391265268833195,2.0943496964529267,0.00017379676165988687,61,360,False
sub-007,1,lab_1,EEG1,49.5,50.5,0.001185750749011507,0.0019120618908968282,0.0012617462439991232,0.0012312453639324763,0.939769588149106,1.552949513845836,-0.26978613273801194,1.9115733711031582,0.0001297292393712661,61,360,False
sub-008,1,lab_1,EEG1,49.5,50.5,0.0008126372978216666,0.0012219701889985217,0.0009342828846101664,0.0009037860012051598,0.8697979063278518,1.352056998024997,-0.6058164204998949,1.3099500033815616,8.369458921092159e-05,61,360,False
sub-009,1,lab_1,EEG1,49.5,50.5,0.0006792782021477639,0.0010967555223753247,0.0006906062663400622,0.000678957899533095,0.9835969267467997,1.6153512927888296,-0.07182836885900003,2.0826698358956066,7.088977776101429e-05,61,360,False
sub-010,1,lab_1,EEG1,49.5,50.5,0.0016302477188772225,0.0023239745267631456,0.0018496720424879204,0.0018119108171830418,0.8813712271949949,1.2826097749632037,-0.5484113135500053,1.0809454541814358,0.00014834545636319588,61,360,False
sub-011,1,lab_4,EEG1,49.5,50.5,1.0983127033287867e-05,0.00015782396232030116,8.003218715570134e-07,8.137655037405578e-07,13.723370184236263,193.94256410757606,11.374607784757401,22.876731331036204,0.0019901420151083866,61,360,False
sub-011,2,lab_4,EEG1,49.5,50.5,9.112726533990539e-06,0.00011665438948988858,5.084424147171815e-07,4.6713861733038515e-07,17.92279390433139,249.72060849076863,12.534057108314427,23.974543844999275,0.0023996607666741977,61,360,False
sub-012,1,lab_4,EEG1,49.5,50.5,3.837008724025237e-06,5.997163309152317e-05,2.5439402309393804e-07,2.2366489341482332e-07,15.082876533352547,268.1304340858819,11.784841759785976,24.283461112802158,0.0005600002320030206,61,360,False
sub-013,1,lab_4,EEG1,49.5,50.5,2.0669755622449115e-06,1.922549125503314e-05,7.904297204370462e-08,7.094565775388852e-08,26.149692491440703,270.9851579157639,14.174665861266107,24.329455048529965,0.002012080851644732,61,360,False
sub-014,1,lab_4,EEG1,49.5,50.5,4.735510621122443e-08,3.8218330310565446e-07,4.703005731992414e-08,3.943857351135936e-08,1.006890104321831,9.690350809589212,0.029820726483158266,9.863394996422437,1.0397587073630961e-05,61,360,False
sub-015,1,lab_4,EEG1,49.5,50.5,2.133920565639936e-08,1.456026484361052e-07,3.4476594500720894e-08,2.7465031750806863e-08,0.6189296546182529,5.301189839039193,-2.0835870856753615,7.2437335687146795,4.192138030833305e-06,61,360,False
sub-015,2,lab_4,EEG1,49.5,50.5,4.2257022954097806e-06,1.1380029910060593e-05,5.835395123253755e-06,4.502360785045386e-06,0.7241500330321318,2.5275689634403458,-1.4017144517303002,4.02703013930075,0.0001176809927570737,61,360,False
sub-015,3,lab_4,EEG1,49.5,50.5,1.335780020975368e-08,1.318603216443796e-07,2.419997530266342e-08,1.802669349475251e-08,0.5519529706012962,7.314320142105888,-2.5809792494839017,8.641739651499137,3.1534896778868885e-06,61,360,False
