lab,signal,stage,n_recordings,mean_amplitude,std_amplitude,cv_amplitude,mean_std,std_std
lab,1,EEG1_Awake,10,0.0040622363,0.0005328672,0.13117583,0.005485446,0.0047509954
lab,1,EEG1_NREM,10,0.0040522106,0.0005209044,0.1285482,0.0052906265,0.00056410016
lab,1,EEG1_REM,10,0.0040534292,0.0005204915,0.1284077,0.0035878334,0.00046196918
lab,1,EMG_Awake,10,-0.0020816075,0.0008612829,-0.41375858,0.015290533,0.0011942565
lab,1,EMG_NREM,10,-0.0016271658,0.0008968034,-0.5511444,0.0049923887,0.0008356688
lab,1,EMG_REM,10,-0.0016289859,0.00089854916,-0.55160034,0.0031821267,0.00061202317
lab,2,EEG1_Awake,20,5.9623045e-07,5.9096737e-06,9.911728,0.00014323607,0.00038962255
lab,2,EEG1_NREM,20,6.036467e-07,5.890401e-06,9.758027,0.00015476241,0.00038303583
lab,2,EEG1_REM,20,5.9515907e-07,5.8925307e-06,9.900766,0.00014391427,0.0003863195
lab,2,EEG2_Awake,20,-2.0853283e-06,3.1979625e-06,-1.5335535,0.00014985687,0.00020834131
lab,2,EEG2_NREM,20,-2.051149e-06,3.2280518e-06,-1.5737773,0.00013932436,0.00014331263
lab,2,EEG2_REM,20,-2.078789e-06,3.2015428e-06,-1.5400999,0.000106191415,0.00012417986
lab,2,EEG3_Awake,20,-3.3288907e-06,4.3306686e-06,-1.3009344,5.2481646e-05,2.7144004e-05
lab,2,EEG3_NREM,20,-3.3210374e-06,4.3282203e-06,-1.3032736,6.206926e-05,3.0790074e-05
lab,2,EEG3_REM,20,-3.3333413e-06,4.322474e-06,-1.2967391,5.6020937e-05,3.0283038e-05
lab,2,EEG4_Awake,20,-5.7632633e-07,2.3872744e-06,-4.1422267,0.000113486,0.00017055548
lab,2,EEG4_NREM,20,-5.9463594e-07,2.3658768e-06,-3.978698,9.1158785e-05,7.619201e-05
lab,2,EEG4_REM,20,-6.182962e-07,2.346848e-06,-3.7956696,8.397964e-05,7.757621e-05
lab,2,EMG_Awake,20,-3.222329e-05,6.416944e-05,-1.9913994,0.0012431117,0.0019797173
lab,2,EMG_NREM,20,-3.154643e-05,6.367696e-05,-2.0185156,0.0010252363,0.0020203593
lab,2,EMG_REM,20,-3.147925e-05,6.3558524e-05,-2.019061,0.0010230688,0.0020315286
lab,3,EEG1_Awake,22,1.965339e-06,1.1002463e-06,0.55982524,2.9394198e-05,1.4968921e-05
lab,3,EEG1_NREM,22,1.9670636e-06,1.0960191e-06,0.5571854,4.380852e-05,1.9637417e-05
lab,3,EEG1_REM,22,1.9625948e-06,1.0981415e-06,0.55953556,2.6633195e-05,1.2033914e-05
lab,3,EEG2_Awake,22,1.5557649e-07,5.663913e-06,36.405968,6.9072245e-05,4.5230714e-05
lab,3,EEG2_NREM,22,5.77938e-07,4.14323e-06,7.168987,0.00010035908,3.446059e-05
lab,3,EEG2_REM,22,9.128724e-07,3.375224e-06,3.6973667,6.8633635e-05,3.767032e-05
lab,3,EMG_Awake,22,1.8101207e-06,1.5111175e-06,0.83481586,1.8120507e-05,8.301794e-06
lab,3,EMG_NREM,22,1.8170703e-06,1.510028e-06,0.83102345,9.510294e-06,9.890541e-06
lab,3,EMG_REM,22,1.8155459e-06,1.5100682e-06,0.8317433,8.6893215e-06,8.770658e-06
lab,4,EEG1_Awake,15,-2.0571435e-06,1.1491371e-05,-5.586081,0.00011556919,9.170238e-05
lab,4,EEG1_NREM,15,2.490317e-06,2.4591227e-06,0.9874738,9.9460616e-05,2.1251688e-05
lab,4,EEG1_REM,13,2.6688124e-06,2.4328024e-06,0.9115674,6.89922e-05,2.5008274e-05
lab,4,EMG_Awake,15,3.8807875e-06,2.9554412e-06,0.7615571,3.341376e-05,2.214028e-05
lab,4,EMG_NREM,15,4.108147e-06,2.7858496e-06,0.678128,6.071641e-06,3.9048587e-06
lab,4,EMG_REM,13,4.3677637e-06,2.8284292e-06,0.6475692,7.842792e-06,9.81414e-06
lab,5,EEG1_Awake,18,-5.5075634e-06,6.3744956e-05,-11.574076,6.847839e-05,1.8857994e-05
lab,5,EEG1_NREM,18,-5.5449245e-06,6.373508e-05,-11.49431,9.29475e-05,2.1742257e-05
lab,5,EEG1_REM,18,-5.5986666e-06,6.3731284e-05,-11.383297,8.117413e-05,2.2713706e-05
lab,5,EEG2_Awake,18,-1.9581554e-05,6.429785e-05,-3.2835927,7.539028e-05,2.6712072e-05
lab,5,EEG2_NREM,18,-1.8505221e-05,6.4528576e-05,-3.487047,9.489161e-05,1.4511101e-05
lab,5,EEG2_REM,18,-1.84989e-05,6.451708e-05,-3.487617,7.4895244e-05,2.1574862e-05
lab,5,EMG_Awake,18,-5.3062588e-05,9.624944e-05,-1.8138851,0.00015006698,0.00032317414
lab,5,EMG_NREM,18,-2.3156257e-05,5.244184e-05,-2.2646942,3.9648716e-05,6.0294562e-05
lab,5,EMG_REM,18,-2.3077488e-05,5.2469313e-05,-2.2736146,3.5194196e-05,5.3045864e-05
