Participant_ID,Laboratory,Delta_Power_NREM,Theta_Power_REM,Alpha_Power_Awake,Arousal_Ratio_Awake,Sleep_Depth_Ratio_NREM,Sleep_Quality_Score,Artifact_amplitude,REM_amplitude
sub-041,lab_3,0,0,0,0,0.0,0,3.5907141864299774e-06,
sub-045,lab_3,0,0,0,0,0.0,0,,2.837892679963261e-06
sub-052,lab_3,0,0,0,0,0.0,0,,2.644335381773999e-06
sub-042,lab_3,0,0,0,0,0.0,0,2.694730937946588e-06,
sub-047,lab_3,0,0,0,0,0.0,0,2.3801135284884367e-06,
sub-038,lab_3,0,0,0,0,0.0,0,4.0307222093360906e-07,
sub-048,lab_3,0,0,0,0,0.0,0,1.0206620117969578e-06,
sub-039,lab_3,0,0,0,0,0.0,0,3.416015715629328e-06,
sub-040,lab_3,0,0,0,0,0.0,0,1.0001160717365565e-06,
sub-046,lab_3,0,0,0,0,0.0,0,4.735844413517043e-06,
sub-044,lab_3,0,0,0,0,0.0,0,3.0622225040133344e-06,
sub-049,lab_3,0,0,0,0,0.0,0,,1.235971240021172e-06
sub-043,lab_3,0,0,0,0,0.0,0,-2.8971604137950635e-07,
sub-050,lab_3,0,0,0,0,0.0,0,3.5082039175904356e-06,
sub-051,lab_3,0,0,0,0,0.0,0,-2.7115771672470146e-07,
