subject,n_rows,total_duration_s,recording_hours
sub-001,64831,259323,72.03416666666666
sub-002,64845,259379,72.04972222222223
sub-003,64836,259343,72.03972222222222
sub-004,64801,259203,72.00083333333333
sub-005,64088,256351,71.20861111111111
sub-006,64801,259203,72.00083333333333
sub-007,64801,259203,72.00083333333333
sub-008,64801,259203,72.00083333333333
sub-009,64840,259359,72.04416666666667
sub-010,64801,259203,72.00083333333333
sub-011,449,1795,0.4986111111111111
sub-011,389,1555,0.43194444444444446
sub-012,2688,10751,2.986388888888889
sub-013,2444,9775,2.7152777777777777
sub-014,329,1315,0.36527777777777776
sub-015,464,1855,0.5152777777777777
sub-015,449,1795,0.4986111111111111
sub-015,479,1915,0.5319444444444444
sub-015,449,1795,0.4986111111111111
sub-016,4063,16251,4.514166666666667
sub-017,314,1255,0.3486111111111111
sub-017,449,1795,0.4986111111111111
sub-018,3005,12019,3.338611111111111
sub-019,2772,11087,3.0797222222222222
sub-020,2849,11395,3.165277777777778
sub-021,3254,13015,3.6152777777777776
sub-022,3508,14031,3.8975
sub-023,2399,9595,2.665277777777778
sub-024,3299,13195,3.665277777777778
sub-025,2939,11755,3.265277777777778
sub-026,2114,8455,2.348611111111111
sub-027,3419,13675,3.798611111111111
sub-027,3314,13255,3.6819444444444445
sub-028,2440,9759,2.7108333333333334
sub-029,3208,12831,3.5641666666666665
sub-030,3359,13435,3.7319444444444443
sub-031,2668,10671,2.964166666666667
sub-032,2233,8931,2.4808333333333334
sub-033,3104,12415,3.448611111111111
sub-034,2773,11091,3.0808333333333335
sub-035,2984,11935,3.3152777777777778
sub-036,3014,12055,3.348611111111111
sub-037,3283,13131,3.6475
sub-038,21600,86399,23.99972222222222
sub-038,21601,86403,24.000833333333333
sub-039,3601,14403,4.0008333333333335
sub-039,3633,14531,4.036388888888889
sub-039,3602,14407,4.001944444444445
sub-040,21600,86399,23.99972222222222
sub-040,21600,86399,23.99972222222222
sub-041,3601,14403,4.0008333333333335
sub-041,3601,14403,4.0008333333333335
sub-041,3601,14403,4.0008333333333335
sub-042,3602,14407,4.001944444444445
sub-042,3601,14403,4.0008333333333335
sub-042,3601,14403,4.0008333333333335
sub-043,21600,86399,23.99972222222222
sub-044,21586,86343,23.984166666666667
sub-044,21597,86387,23.996388888888887
sub-045,21600,86399,23.99972222222222
sub-045,21600,86399,23.99972222222222
sub-046,3602,14407,4.001944444444445
sub-046,3601,14403,4.0008333333333335
sub-046,3603,14411,4.003055555555555
sub-047,21600,86399,23.99972222222222
sub-048,3601,14403,4.0008333333333335
sub-048,3602,14407,4.001944444444445
sub-048,3601,14403,4.0008333333333335
sub-049,21600,86399,23.99972222222222
sub-049,21600,86399,23.99972222222222
sub-050,21600,86399,23.99972222222222
sub-050,21600,86399,23.99972222222222
sub-051,7302,29207,8.113055555555556
sub-052,21600,86399,23.99972222222222
sub-052,21600,86399,23.99972222222222
sub-053,21600,86399,23.99972222222222
sub-053,21600,86399,23.99972222222222
sub-054,21594,86375,23.993055555555557
sub-054,21600,86399,23.99972222222222
sub-055,21601,86403,24.000833333333333
sub-055,21600,86399,23.99972222222222
sub-056,21196,84783,23.550833333333333
sub-057,21600,86399,23.99972222222222
sub-058,21661,86643,24.0675
sub-058,21600,86399,23.99972222222222
sub-059,21600,86399,23.99972222222222
sub-060,7212,28847,8.013055555555555
sub-061,21600,86399,23.99972222222222
sub-062,21600,86399,23.99972222222222
sub-063,21600,86399,23.99972222222222
sub-064,21600,86399,23.99972222222222
sub-065,21600,86399,23.99972222222222
sub-066,21600,86399,23.99972222222222
sub-067,21600,86399,23.99972222222222
sub-068,21600,86399,23.99972222222222
sub-069,21600,86399,23.99972222222222
sub-070,5400,21599,5.999722222222222
sub-070,5400,21599,5.999722222222222
sub-071,5400,21599,5.999722222222222
sub-071,5400,21599,5.999722222222222
sub-072,5400,21599,5.999722222222222
sub-072,5400,21599,5.999722222222222
sub-073,5400,21599,5.999722222222222
sub-073,5400,21599,5.999722222222222
sub-074,5400,21599,5.999722222222222
sub-074,5400,21599,5.999722222222222
sub-075,5400,21599,5.999722222222222
sub-075,5400,21599,5.999722222222222
sub-076,5400,21599,5.999722222222222
sub-076,5400,21599,5.999722222222222
sub-077,5400,21599,5.999722222222222
sub-077,6300,25199,6.999722222222222
sub-078,5400,21599,5.999722222222222
sub-078,5400,21599,5.999722222222222
sub-079,5400,21599,5.999722222222222
sub-079,5400,21599,5.999722222222222
sub-080,5400,21599,5.999722222222222
sub-080,5400,21599,5.999722222222222
sub-081,5400,21599,5.999722222222222
sub-081,5400,21599,5.999722222222222
sub-082,5400,21599,5.999722222222222
sub-082,5400,21599,5.999722222222222
sub-083,5400,21599,5.999722222222222
sub-083,5400,21599,5.999722222222222
sub-084,5400,21599,5.999722222222222
sub-084,5400,21599,5.999722222222222
sub-085,5400,21599,5.999722222222222
sub-085,5400,21599,5.999722222222222
sub-086,5400,21599,5.999722222222222
sub-086,5400,21599,5.999722222222222
sub-087,10798,43191,11.9975
sub-087,10798,43191,11.9975
sub-087,10798,43191,11.9975
sub-087,10798,43191,11.9975
sub-087,10798,43191,11.9975
sub-087,10798,43191,11.9975
sub-088,10798,43191,11.9975
sub-088,10797,43187,11.99638888888889
sub-089,10798,43191,11.9975
sub-089,10798,43191,11.9975
sub-090,10770,43079,11.966388888888888
sub-090,10771,43083,11.9675
sub-091,10798,43191,11.9975
sub-091,10798,43191,11.9975
sub-091,10798,43191,11.9975
sub-091,10798,43191,11.9975
sub-092,10797,43187,11.99638888888889
sub-092,10798,43191,11.9975
