Frequency_Band,Sleep_Stage,Mean_Power,Std_Power,CI_Lower,CI_Upper,Relative_Power
Delta (0.5-4 Hz),Awake,5.47e-03,2.63e-02,-5.35e-03,1.63e-02,0.20%
Delta (0.5-4 Hz),NREM,4.49e-03,2.00e-02,-3.73e-03,1.27e-02,0.22%
Delta (0.5-4 Hz),REM,1.08e-04,8.98e-05,7.02e-05,1.46e-04,0.12%
Delta (0.5-4 Hz),Artifact,9.50e-04,8.93e-04,-6.92e-04,2.59e-03,0.31%
Theta (4-8 Hz),Awake,5.83e-04,2.33e-03,-3.77e-04,1.54e-03,0.12%
Theta (4-8 Hz),NREM,3.29e-04,3.71e-04,1.76e-04,4.81e-04,0.12%
Theta (4-8 Hz),REM,1.40e-04,1.34e-04,8.31e-05,1.96e-04,0.15%
Theta (4-8 Hz),Artifact,1.53e-04,1.34e-04,-9.40e-05,4.00e-04,0.07%
Alpha (8-12 Hz),Awake,1.29e-04,4.49e-04,-5.62e-05,3.14e-04,0.04%
Alpha (8-12 Hz),NREM,1.10e-04,9.46e-05,7.15e-05,1.49e-04,0.05%
Alpha (8-12 Hz),REM,7.77e-05,9.11e-05,3.93e-05,1.16e-04,0.07%
Alpha (8-12 Hz),Artifact,4.48e-05,3.69e-05,-2.30e-05,1.13e-04,0.03%
Beta (12-30 Hz),Awake,2.28e-05,7.10e-05,-6.41e-06,5.21e-05,0.01%
Beta (12-30 Hz),NREM,2.24e-05,2.05e-05,1.40e-05,3.09e-05,0.01%
Beta (12-30 Hz),REM,1.17e-05,9.12e-06,7.85e-06,1.55e-05,0.02%
Beta (12-30 Hz),Artifact,1.10e-05,7.66e-06,-3.04e-06,2.51e-05,0.01%
Gamma (30-100 Hz),Awake,4.54e-05,2.21e-04,-4.57e-05,1.36e-04,0.00%
Gamma (30-100 Hz),NREM,1.65e-05,7.79e-05,-1.56e-05,4.86e-05,0.00%
Gamma (30-100 Hz),REM,8.81e-07,6.78e-07,5.95e-07,1.17e-06,0.00%
Gamma (30-100 Hz),Artifact,8.89e-08,8.30e-08,-6.36e-08,2.41e-07,0.00%
