Frequency_Band,Freq_Min_Hz,Freq_Max_Hz,Sleep_Stage,Mean_Power,CI_Lower,CI_Upper,Power_uV2_Hz
0-1 Hz,0,1,Awake,8.356987e-03,-5.478154e-03,2.219213e-02,0.008356987
0-1 Hz,0,1,NREM,4.102585e-02,-4.019958e-02,1.222513e-01,0.041025855
0-1 Hz,0,1,REM,1.504711e-03,-5.291755e-04,3.538598e-03,0.0015047112
0-1 Hz,0,1,Artifact,3.162364e-03,-2.445770e-03,8.770498e-03,0.003162364
1-2 Hz,1,2,Awake,9.064345e-03,-9.239573e-03,2.736826e-02,0.009064345
1-2 Hz,1,2,NREM,2.965320e-03,-2.237151e-03,8.167792e-03,0.0029653204
1-2 Hz,1,2,REM,9.046492e-05,5.853718e-05,1.223927e-04,9.046492e-05
1-2 Hz,1,2,Artifact,1.029670e-03,-7.394806e-04,2.798820e-03,0.0010296698
2-3 Hz,2,3,Awake,3.090370e-03,-2.825986e-03,9.006725e-03,0.0030903695
2-3 Hz,2,3,NREM,1.025253e-03,2.390070e-04,1.811499e-03,0.0010252529
2-3 Hz,2,3,REM,1.461029e-04,9.260585e-05,1.996000e-04,0.00014610292
2-3 Hz,2,3,Artifact,3.720375e-04,-2.480226e-04,9.920976e-04,0.00037203752
3-4 Hz,3,4,Awake,1.705571e-03,-1.389689e-03,4.800830e-03,0.0017055707
3-4 Hz,3,4,NREM,7.106426e-04,3.181712e-04,1.103114e-03,0.0007106426
3-4 Hz,3,4,REM,1.061616e-04,6.793967e-05,1.443835e-04,0.00010616157
3-4 Hz,3,4,Artifact,2.919873e-04,-1.956762e-04,7.796509e-04,0.00029198732
4-5 Hz,4,5,Awake,9.666046e-04,-7.210090e-04,2.654218e-03,0.00096660457
4-5 Hz,4,5,NREM,5.109647e-04,2.436485e-04,7.782809e-04,0.00051096466
4-5 Hz,4,5,REM,8.498866e-05,5.400356e-05,1.159738e-04,8.4988664e-05
4-5 Hz,4,5,Artifact,2.404567e-04,-1.562191e-04,6.371324e-04,0.00024045666
5-6 Hz,5,6,Awake,6.448435e-04,-4.308129e-04,1.720500e-03,0.0006448435
5-6 Hz,5,6,NREM,3.598823e-04,1.833591e-04,5.364055e-04,0.00035988228
5-6 Hz,5,6,REM,8.895106e-05,5.916821e-05,1.187339e-04,8.8951056e-05
5-6 Hz,5,6,Artifact,1.578850e-04,-9.550708e-05,4.112770e-04,0.00015788498
6-7 Hz,6,7,Awake,4.270309e-04,-2.228313e-04,1.076893e-03,0.00042703093
6-7 Hz,6,7,NREM,2.522371e-04,1.476301e-04,3.568442e-04,0.00025223714
6-7 Hz,6,7,REM,1.714510e-04,9.722246e-05,2.456795e-04,0.00017145097
6-7 Hz,6,7,Artifact,1.239693e-04,-7.508910e-05,3.230276e-04,0.00012396925
7-8 Hz,7,8,Awake,2.984019e-04,-1.350932e-04,7.318970e-04,0.00029840192
