Metric,Value,Description
Sampling Interval,4 seconds,Temporal resolution of downsampled labels for transition analysis
Total Transitions,"119,615.0",Total number of time points analyzed (4-second intervals)
Total Stage Changes,"4,411.0",Number of actual stage transitions (excluding self-transitions)
Change Rate,3.69%,Percentage of time points with stage changes
Recordings Analyzed,12,Number of recordings included in analysis
Awake Stability,0.967,Probability of staying in Awake stage
Awake → Most Likely,NREM (0.840),Most likely transition from Awake when change occurs
NREM Stability,0.969,Probability of staying in NREM stage
NREM → Most Likely,Awake (0.690),Most likely transition from NREM when change occurs
REM Stability,0.930,Probability of staying in REM stage
REM → Most Likely,Awake (0.938),Most likely transition from REM when change occurs
Artifact Stability,0.502,Probability of staying in Artifact stage
Artifact → Most Likely,Awake (0.987),Most likely transition from Artifact when change occurs
