participant_id,run,lab,total_transitions,total_changes
sub-011,1,lab_4,229887.0,5.0
sub-011,2,lab_4,199167.0,8.0
sub-012,1,lab_4,1376255.0,135.0
sub-013,1,lab_4,1251327.0,139.0
sub-014,1,lab_4,168447.0,29.0
sub-015,1,lab_4,237567.0,28.0
sub-015,2,lab_4,229887.0,7.0
sub-015,3,lab_4,245247.0,21.0
sub-015,4,lab_4,229887.0,17.0
sub-016,1,lab_4,2080255.0,212.0
sub-017,1,lab_4,160767.0,9.0
sub-017,2,lab_4,229887.0,13.0
sub-018,1,lab_4,1538559.0,114.0
sub-019,1,lab_4,1419263.0,170.0
sub-020,1,lab_4,1458687.0,76.0
sub-021,1,lab_4,1666047.0,114.0
sub-022,1,lab_4,1796095.0,155.0
sub-023,1,lab_4,1228287.0,103.0
sub-024,1,lab_4,1689087.0,97.0
sub-025,1,lab_4,1504767.0,98.0
sub-026,1,lab_4,1082367.0,91.0
sub-027,1,lab_4,1750527.0,130.0
sub-027,2,lab_4,1696767.0,151.0
sub-028,1,lab_4,1249279.0,59.0
sub-029,1,lab_4,1642495.0,86.0
sub-030,1,lab_4,1719807.0,153.0
sub-031,1,lab_4,1366015.0,88.0
sub-032,1,lab_4,1143295.0,57.0
sub-033,1,lab_4,1589247.0,103.0
sub-034,1,lab_4,1419775.0,112.0
sub-035,1,lab_4,1527807.0,132.0
sub-036,1,lab_4,1543167.0,78.0
sub-037,1,lab_4,1680895.0,127.0
sub-038,1,lab_3,11059199.0,843.0
sub-038,2,lab_3,11059711.0,1027.0
sub-039,1,lab_3,1843711.0,129.0
sub-039,2,lab_3,1860095.0,72.0
sub-039,3,lab_3,1844223.0,84.0
sub-040,1,lab_3,11059199.0,601.0
sub-040,2,lab_3,11059199.0,1042.0
sub-041,1,lab_3,1843711.0,92.0
sub-041,2,lab_3,1843711.0,93.0
sub-041,3,lab_3,1843711.0,97.0
sub-042,1,lab_3,1844223.0,118.0
sub-042,2,lab_3,1843711.0,65.0
sub-042,3,lab_3,1843711.0,134.0
sub-043,1,lab_3,11059199.0,644.0
sub-044,1,lab_3,11052031.0,770.0
sub-044,2,lab_3,11057663.0,954.0
sub-045,1,lab_3,11059199.0,877.0
sub-045,2,lab_3,11059199.0,825.0
sub-046,1,lab_3,1844223.0,92.0
sub-046,2,lab_3,1843711.0,149.0
sub-046,3,lab_3,1844735.0,163.0
sub-047,1,lab_3,11059199.0,1459.0
sub-048,1,lab_3,1843711.0,73.0
sub-048,2,lab_3,1844223.0,150.0
sub-048,3,lab_3,1843711.0,51.0
sub-049,1,lab_3,11059199.0,596.0
sub-049,2,lab_3,11059199.0,975.0
sub-050,1,lab_3,11059199.0,662.0
sub-050,2,lab_3,11059199.0,571.0
sub-051,1,lab_3,3738623.0,310.0
sub-052,1,lab_3,11059199.0,1010.0
sub-052,2,lab_3,11059199.0,1140.0
sub-053,1,lab_3,11059199.0,701.0
sub-053,2,lab_3,11059199.0,684.0
sub-054,1,lab_3,11056127.0,787.0
sub-054,2,lab_3,11059199.0,860.0
sub-055,1,lab_3,11059711.0,686.0
sub-055,2,lab_3,11059199.0,756.0
sub-056,1,lab_3,10852351.0,868.0
sub-057,1,lab_3,11059199.0,919.0
sub-058,1,lab_3,11090431.0,791.0
sub-058,2,lab_3,11059199.0,856.0
sub-059,1,lab_3,11059199.0,757.0
sub-060,1,lab_3,3692543.0,222.0
sub-061,1,lab_3,11059199.0,1142.0
sub-062,1,lab_3,11059199.0,1003.0
sub-063,1,lab_3,11059199.0,1051.0
sub-064,1,lab_3,11059199.0,680.0
sub-065,1,lab_3,11059199.0,1177.0
sub-066,1,lab_3,11059199.0,587.0
sub-067,1,lab_3,11059199.0,793.0
sub-068,1,lab_3,11059199.0,738.0
sub-069,1,lab_3,11059199.0,1156.0
sub-070,1,lab_2,2764799.0,287.0
sub-070,2,lab_2,2764799.0,233.0
sub-071,1,lab_2,2764799.0,249.0
sub-071,2,lab_2,2764799.0,136.0
sub-072,1,lab_2,2764799.0,282.0
sub-072,2,lab_2,2764799.0,213.0
sub-073,1,lab_2,2764799.0,235.0
sub-073,2,lab_2,2764799.0,318.0
sub-074,1,lab_2,2764799.0,257.0
sub-074,2,lab_2,2764799.0,158.0
sub-075,1,lab_2,2764799.0,211.0
sub-075,2,lab_2,2764799.0,192.0
sub-076,1,lab_2,2764799.0,252.0
sub-076,2,lab_2,2764799.0,192.0
sub-077,1,lab_2,2764799.0,264.0
sub-077,2,lab_2,3225599.0,240.0
sub-078,1,lab_2,2764799.0,115.0
sub-078,2,lab_2,2764799.0,207.0
sub-079,1,lab_2,2764799.0,397.0
sub-079,2,lab_2,2764799.0,274.0
sub-080,1,lab_2,2764799.0,168.0
sub-080,2,lab_2,2764799.0,216.0
sub-081,1,lab_2,2764799.0,130.0
sub-081,2,lab_2,2764799.0,211.0
sub-082,1,lab_2,2764799.0,149.0
sub-082,2,lab_2,2764799.0,246.0
sub-083,1,lab_2,2764799.0,373.0
sub-083,2,lab_2,2764799.0,312.0
sub-084,1,lab_2,2764799.0,200.0
sub-084,2,lab_2,2764799.0,248.0
sub-085,1,lab_2,2764799.0,159.0
sub-085,2,lab_2,2764799.0,232.0
sub-086,1,lab_2,2764799.0,271.0
sub-086,2,lab_2,2764799.0,244.0
sub-087,1,lab_5,5528575.0,237.0
sub-087,2,lab_5,5528575.0,292.0
sub-087,3,lab_5,5528575.0,312.0
sub-087,4,lab_5,5528575.0,327.0
sub-087,5,lab_5,5528575.0,456.0
sub-087,6,lab_5,5528575.0,384.0
sub-088,1,lab_5,5528575.0,302.0
sub-088,2,lab_5,5528063.0,423.0
sub-089,1,lab_5,5528575.0,671.0
sub-089,2,lab_5,5528575.0,466.0
sub-090,1,lab_5,5514239.0,368.0
sub-090,2,lab_5,5514751.0,500.0
sub-091,1,lab_5,5528575.0,421.0
sub-091,2,lab_5,5528575.0,393.0
sub-091,3,lab_5,5528575.0,550.0
sub-091,4,lab_5,5528575.0,776.0
sub-092,1,lab_5,5528063.0,351.0
sub-092,2,lab_5,5528575.0,678.0
